comment,label,comment_length,comment_cleaned
بسیار عالی و به موقع رسید طعم و کیفیت هم عالی بود,1,49,بسیار عالی و به موقع رسید طعم و کیفیت هم عالی بود
مثل دفعه قبل هم به موقع هم خوشمزه,1,33,مثل دفعه قبل هم به موقع هم خوشمزه
کیفیت غذا خوب بود و تقریبا داغ بود اما خیلی دیر رسید,1,52,کیفیت غذا خوب بود و تقریبا داغ بود اما خیلی دیر رسید
بد نبود اما برخلاف دفعات قبل چرب‌تر بود و بال هام خوب نپخته بود,0,63,بد نبود اما برخلاف دفعات قبل چربتر بود و بال هام خوب نپخته بود
من فقط یه سیب‌زمینی سفارش دادم ۲ ساعت طول کشید,0,46,من فقط یه سیبزمینی سفارش دادم  ساعت طول کشید
سریع و زودتر از تایم اعلامی بدستم رسید و این خیلی خوبه,1,54,سریع و زودتر از تایم اعلامی بدستم رسید و این خیلی خوبه
بسیار تازه و خوشمزه بود مرسی,1,28,بسیار تازه و خوشمزه بود مرسی
سس ۴۸۵ گرمی سفارش دادن، اما سس ۴۵۵ گرمی برام آوردن!,0,51,سس  گرمی سفارش دادن اما سس  گرمی برام آوردن
نوشابه ارسال نشد، با این‌که هزینه آن پرداخت‌شده بود. (منوی دینر همراه با نوشابه است),0,84,نوشابه ارسال نشد با اینکه هزینه آن پرداختشده بود منوی دینر همراه با نوشابه است
سلام بسیار خوب بود ممنون,1,24,سلام بسیار خوب بود ممنون
دستتون درد نکنه عالی بود هم حجمش از لحاظ قیمت زیاد بود هم خوب پخته‌شده بود فکر کنم میشم مشتری دائم خیلی زود هم رسید جاتون خالی غذای داغ و خوشمزه میل کردیم,1,154,دستتون درد نکنه عالی بود هم حجمش از لحاظ قیمت زیاد بود هم خوب پختهشده بود فکر کنم میشم مشتری دائم خیلی زود هم رسید جاتون خالی غذای داغ و خوشمزه میل کردیم
سریع و به موقع با اجناس عالی و تاریخ مصرف درست باید به این سوپر مارکت نمره ۲۰ داد ناصری,1,87,سریع و به موقع با اجناس عالی و تاریخ مصرف درست باید به این سوپر مارکت نمره  داد ناصری
اصلا دانمارکی نبود بسیار بیات و مونده بود اصلا راضی نبودم متاسفانه,0,66,اصلا دانمارکی نبود بسیار بیات و مونده بود اصلا راضی نبودم متاسفانه
بجای ۱۰ عدد پای سیب. سه عدد مدل متفاوت با سفارش من ارسال‌شده,0,60,بجای  عدد پای سیب سه عدد مدل متفاوت با سفارش من ارسالشده
کیسه زیپ دار سفارش دادم، کیسه معمولی برای من فرستادن، خمیر پیتزا سفارش دادم، خمیر پیراشکی فرستادن،,0,98,کیسه زیپ دار سفارش دادم کیسه معمولی برای من فرستادن خمیر پیتزا سفارش دادم خمیر پیراشکی فرستادن
سریع‌تر و با کیفیت بیشتد تشکر,1,29,سریعتر و با کیفیت بیشتد تشکر
بسیار عالی و با کیفیت، ممنونم و امیدوارم که این کیفیت همیشگی باشد.,1,66,بسیار عالی و با کیفیت ممنونم و امیدوارم که این کیفیت همیشگی باشد
به شدت چرب بود و اصلا مزه چیزی بجز روغن احساس نمی‌شد. پیتزا ریحان هم نداشت,0,74,به شدت چرب بود و اصلا مزه چیزی بجز روغن احساس نمیشد پیتزا ریحان هم نداشت
غذای این سری خوب بود,1,20,غذای این سری خوب بود
عالی خیلی هم سریع رسید,1,22,عالی خیلی هم سریع رسید
غذا بسیار دیر تحویل داده شد و فقط نون و پنیر بود.,0,49,غذا بسیار دیر تحویل داده شد و فقط نون و پنیر بود
مرغ کامل سرخ نشده بود,0,21,مرغ کامل سرخ نشده بود
طعم ابگوشت تلخ بود و اب ابگوشت خیلی کم بود و کمتر از دیزیهای معمول بود,0,70,طعم ابگوشت تلخ بود و اب ابگوشت خیلی کم بود و کمتر از دیزیهای معمول بود
کیفت چلو پایین بود,0,18,کیفت چلو پایین بود
سلام شیرینی که برای من به عنوان برشتوک آجیلی آوردن به نام برشتوک حنایی است و اصلا مطابق شکل سایت نیست,0,101,سلام شیرینی که برای من به عنوان برشتوک آجیلی آوردن به نام برشتوک حنایی است و اصلا مطابق شکل سایت نیست
بد نبود، اما خیلی هم خاص و بی‌نظیر نبود. انتظار یه مزه فوق‌العاده رو داشتم. معمولی بود,1,86,بد نبود اما خیلی هم خاص و بینظیر نبود انتظار یه مزه فوقالعاده رو داشتم معمولی بود
فقط سس ریخته بودن توش حجم بسیار کم نسبت به قیمت بسیار بالا کیفیت پایین,0,70,فقط سس ریخته بودن توش حجم بسیار کم نسبت به قیمت بسیار بالا کیفیت پایین
پیک ۱۰ دقیقه من رو توی کوچه نگه داشت و پیدا نمی‌کرد,0,51,پیک  دقیقه من رو توی کوچه نگه داشت و پیدا نمیکرد
غذای بسیار بسیار بسیار بی‌کیفیت با تاخیر فراوان,0,47,غذای بسیار بسیار بسیار بیکیفیت با تاخیر فراوان
وقتی مشتری روی یک طعم خاص دلستر تاکید میکنه، انتظار میره که به نظر مشتری توجه بشه حداقل اگر تو رستوران هم موجود نیست قبل از ارسال نظر مشتری اخذ بشه,0,147,وقتی مشتری روی یک طعم خاص دلستر تاکید میکنه انتظار میره که به نظر مشتری توجه بشه حداقل اگر تو رستوران هم موجود نیست قبل از ارسال نظر مشتری اخذ بشه
غذا سرد بود اونم تو این گرما!,1,29,غذا سرد بود اونم تو این گرما
سوتفاهم شده یک لیتر آب طالبی می‌خواستم نه یخ خرد شده. بیشتر طعم آب میده,0,71,سوتفاهم شده یک لیتر آب طالبی میخواستم نه یخ خرد شده بیشتر طعم آب میده
موهیتو طعمه همیشگی نبود و خیلی ترش و تلخ بود.,1,45,موهیتو طعمه همیشگی نبود و خیلی ترش و تلخ بود
خیلی بدمزه بود جوجه، توش خام بود نپخته بود، اصلا نتونستم بخورم,0,62,خیلی بدمزه بود جوجه توش خام بود نپخته بود اصلا نتونستم بخورم
گوشت و قارچ پیتزای بیف گورمه مونده بود و بو می‌داد و پخت قبل بود متاسفانه غیر قابل خوردن.,0,89,گوشت و قارچ پیتزای بیف گورمه مونده بود و بو میداد و پخت قبل بود متاسفانه غیر قابل خوردن
شیرینی زبان خیلی خشک و بد بود,0,29,شیرینی زبان خیلی خشک و بد بود
غذا گرم بود و خوشمزه.. ممنون,1,28,غذا گرم بود و خوشمزه ممنون
مرغ خوب سرخ‌شده بود ولی محتویات شکم زیاد جالب نبود …,0,52,مرغ خوب سرخشده بود ولی محتویات شکم زیاد جالب نبود
روی جعبه‌ها مشخص نشده بود کدوم اسپایسیه و کدوم نرمال، و به همین ترتیب اشتباه شد تا میانه‌ی خوردن غذا..,1,102,روی جعبهها مشخص نشده بود کدوم اسپایسیه و کدوم نرمال و به همین ترتیب اشتباه شد تا میانهی خوردن غذا
بجای کیک بزرگ کیک متوسط تحویل گرفتیم بجای وزن ۱۶۰۰ ما وزن ۱۲۰۰ دریافت کردیم,1,75,بجای کیک بزرگ کیک متوسط تحویل گرفتیم بجای وزن  ما وزن  دریافت کردیم
The nutella and caramel rolls are AMAZING!!! GREAT service and very delicious desserts- عالی!!!!,1,96,The nutella and caramel rolls are AMAZING GREAT service and very delicious desserts عالی
غذا دیر اومد، کیفیت پایین بود فقط حجم الکی با کاهو پیر شده بود و کیفیت نداشت اصلا,0,81,غذا دیر اومد کیفیت پایین بود فقط حجم الکی با کاهو پیر شده بود و کیفیت نداشت اصلا
پیک رستوران خیلی عالی بود، با وجود اینکه، غذا رو کامل نفرستاده بودن، سرعت عملش خیلی بالا بود ۹ و ساندویچ هم سرد بود، هنگام تحویل,1,128,پیک رستوران خیلی عالی بود با وجود اینکه غذا رو کامل نفرستاده بودن سرعت عملش خیلی بالا بود  و ساندویچ هم سرد بود هنگام تحویل
من ۳ تا دسر سفارش دادم ولی یه دونه اوردن,0,40,من  تا دسر سفارش دادم ولی یه دونه اوردن
مونده بود.. خیلی مزه بدی داشت,0,29,مونده بود خیلی مزه بدی داشت
حجم غذا خوبه. ولی بسیار بسیار دیر ارسال می‌کنند. بیش از یکساعت طول کشید. املت مگه چقدر زمانبر هست؟,1,98,حجم غذا خوبه ولی بسیار بسیار دیر ارسال میکنند بیش از یکساعت طول کشید املت مگه چقدر زمانبر هست
تاخیر زیاد در ارسال بسته,0,24,تاخیر زیاد در ارسال بسته
«بسته بندی اصلا» «مناسب نبود و در یک نایلکس نازک که اسنپ باکس آن را دو دست گرفته بود که پاره نشود»,1,98,بسته بندی اصلا مناسب نبود و در یک نایلکس نازک که اسنپ باکس آن را دو دست گرفته بود که پاره نشود
افتضاح بود با ۴۰ دقیقه تاخیر اومد,0,33,افتضاح بود با  دقیقه تاخیر اومد
با عرض سلام غذا به حدی سرد بود متوجه نشدم چی بود متاسفم,0,55,با عرض سلام غذا به حدی سرد بود متوجه نشدم چی بود متاسفم
غذا خوب بود ولی سرد به دستم رسید,1,32,غذا خوب بود ولی سرد به دستم رسید
جوجه‌کباب اصلا خوب نبود. اما خوراک ماهی بد نبود,0,47,جوجهکباب اصلا خوب نبود اما خوراک ماهی بد نبود
برخورد خوب و مناسب پیک,0,22,برخورد خوب و مناسب پیک
همیشه سفارشات رو جا به جا میارید ایندفعه هم به جای سس بیژن رب روژین اوردید … بیشتر دقت کنید,0,91,همیشه سفارشات رو جا به جا میارید ایندفعه هم به جای سس بیژن رب روژین اوردید  بیشتر دقت کنید
مگه سوپر مارکت عمده فروشیه که نوشابه داغ برای مشتری ارسال می‌کنید؟ اگه نوشابه داغ می‌خواستم من خودم بهتر بلد بودم برم عمده‌فروشی و با قیمت ارزونتری نوشابه بخرم,0,159,مگه سوپر مارکت عمده فروشیه که نوشابه داغ برای مشتری ارسال میکنید اگه نوشابه داغ میخواستم من خودم بهتر بلد بودم برم عمدهفروشی و با قیمت ارزونتری نوشابه بخرم
معمولی بود و کاملا سرد …در کل جالب نبود,0,39,معمولی بود و کاملا سرد در کل جالب نبود
دقتی به توضیحات درخواست نمیشه,1,29,دقتی به توضیحات درخواست نمیشه
ماهی بو بدی داشت برنج هم بی‌کیفیت بود,0,37,ماهی بو بدی داشت برنج هم بیکیفیت بود
من قبلا تو شعبه‌های دیگه پرپروک غذا خوردم واقعا کیفیت اینجا پایینه. همه چیز خیلی شدید طعم آویشن میده حتی سیب‌زمینی کنار مرغ و چیپس و پنیر!!! واقعا موقع خوردن غذا فکر می‌کنی فقط داری آویشن می‌خوری.,0,196,من قبلا تو شعبههای دیگه پرپروک غذا خوردم واقعا کیفیت اینجا پایینه همه چیز خیلی شدید طعم آویشن میده حتی سیبزمینی کنار مرغ و چیپس و پنیر واقعا موقع خوردن غذا فکر میکنی فقط داری آویشن میخوری
مغز تخمه خوب و تازه بود، بادام روکش دار توش مانده داشت، کشک معمولی خواسته بودم ک رشته‌ی فرستادن ک هم مانده ست هم سفت، برگه‌ها خوبن,1,130,مغز تخمه خوب و تازه بود بادام روکش دار توش مانده داشت کشک معمولی خواسته بودم ک رشتهی فرستادن ک هم مانده ست هم سفت برگهها خوبن
ساعت و نیم تاخیر برای ارسال یک عدد ساندویچ! و تحویل ساندویخ سرد و خیس!,0,70,ساعت و نیم تاخیر برای ارسال یک عدد ساندویچ و تحویل ساندویخ سرد و خیس
نان تازه و کاملا داغ به دستم رسید. خیلی ممنون,1,45,نان تازه و کاملا داغ به دستم رسید خیلی ممنون
نسبت به قیمت اندازه کوچیک بود. پیتزای خانواده باید سه نفر رو حداقل سیر کنه,0,74,نسبت به قیمت اندازه کوچیک بود پیتزای خانواده باید سه نفر رو حداقل سیر کنه
من ثبت کرده بودم دلستر تلخ می‌خواهم. برای بنده دلستر با طعم لیمو آوردند. به توضیحات دقت نکرده بودند.,0,100,من ثبت کرده بودم دلستر تلخ میخواهم برای بنده دلستر با طعم لیمو آوردند به توضیحات دقت نکرده بودند
نان خامه‌ای اصلا تازه نبود متاسفانه اولین و آخرین بار سفارشم از شیرینی ناتلی شد.,0,80,نان خامهای اصلا تازه نبود متاسفانه اولین و آخرین بار سفارشم از شیرینی ناتلی شد
مثل همیشه به موقع و گرم. و غذای خوشمزه,1,38,مثل همیشه به موقع و گرم و غذای خوشمزه
خوشمزه بود ولی فکر کنم همون ۸ تیکه رو ۲۰ تیکه کرده بودن ولی خوب و خوشمزه بود,1,76,خوشمزه بود ولی فکر کنم همون  تیکه رو  تیکه کرده بودن ولی خوب و خوشمزه بود
این بار غذا افتضاح بود بسیار سرد و ماسیده بود و‌جالب اینکه از ما ۷ ٫ ۵۰۰ تومان خم هزینه بسته بندی گرفتن,0,103,این بار غذا افتضاح بود بسیار سرد و ماسیده بود وجالب اینکه از ما    تومان خم هزینه بسته بندی گرفتن
کیفیت خوب بود اما غذا هم سرد بود وهم حجمش بسیارکوچیکه و سیر نمیشی بایدونه,0,73,کیفیت خوب بود اما غذا هم سرد بود وهم حجمش بسیارکوچیکه و سیر نمیشی بایدونه
کیفیت و سرعت و دقت آرتین عالیست,1,31,کیفیت و سرعت و دقت آرتین عالیست
بسته بندی، مخلفات و کیفیت غذا بسیار عالی بود فقط برا تحویل غذا ۱۰ دقیقه قبلش زد که تحویل داده شد در حالی که ما غذایی تحویل نگرفته بودیم,1,135,بسته بندی مخلفات و کیفیت غذا بسیار عالی بود فقط برا تحویل غذا  دقیقه قبلش زد که تحویل داده شد در حالی که ما غذایی تحویل نگرفته بودیم
نان خیلی خمیر بود!!!!!,0,22,نان خیلی خمیر بود
من دوست نداشتم ممنون,1,20,من دوست نداشتم ممنون
سوسیس گیاهی فرانکفورتر سفارش دادم ولی سوسیس پاپریکا برام فرستادن,0,64,سوسیس گیاهی فرانکفورتر سفارش دادم ولی سوسیس پاپریکا برام فرستادن
کیفیت غذا خوب بود. خوش‌مزه بود. زمانی هم که رسید کاملا گرم بود. برخورد پیک خوب بود. کلا از همه لحاظ راضی بودم.,1,110,کیفیت غذا خوب بود خوشمزه بود زمانی هم که رسید کاملا گرم بود برخورد پیک خوب بود کلا از همه لحاظ راضی بودم
کیک بسیار کهنه بود!,1,19,کیک بسیار کهنه بود
سوسیس خام با پنیر تو نون حداقل یکم سرخش کنید بعد بفرستید,0,56,سوسیس خام با پنیر تو نون حداقل یکم سرخش کنید بعد بفرستید
مثل همیشه همه چیز عالی بود:),1,28,مثل همیشه همه چیز عالی بود
غدا کلا سرد بود,0,15,غدا کلا سرد بود
خوب بود. دستتون درد نکنه. فقط کاش پیتزاتون پیاز خام نداشت!,1,58,خوب بود دستتون درد نکنه فقط کاش پیتزاتون پیاز خام نداشت
سالاد ماکارانی سفارش دادم سالاد روسی آوردن,0,42,سالاد ماکارانی سفارش دادم سالاد روسی آوردن
یک کیلو چیز کیک ۷ عدد بود اما یکی از آن‌ها کم است,0,49,یک کیلو چیز کیک  عدد بود اما یکی از آنها کم است
از زحمات اسنپ فود برای پی گیری کمال تشکر را دارم.,1,49,از زحمات اسنپ فود برای پی گیری کمال تشکر را دارم
غذا خیلی سرد بود. در واقع سرد‌ترین تجربه سفارش غذا من بود! با اینکه کمتر از ۳۰ دقیقه به دستم رسید. اما کیفیتش بد نبود فکر می‌کنم در مراجعه حضوری تجربه بهتری خواهم داشت.,0,168,غذا خیلی سرد بود در واقع سردترین تجربه سفارش غذا من بود با اینکه کمتر از  دقیقه به دستم رسید اما کیفیتش بد نبود فکر میکنم در مراجعه حضوری تجربه بهتری خواهم داشت
کیک چندین دور در باکس هم خورده بود و تمام روی‌کیک به دور‌جعبه ریخته بود. اما مشکل از کوک نبود از پیک بود. لطفا بفرمایید که چیزی که از کوک میارن نباید خیلی تکان بخوره.,1,166,کیک چندین دور در باکس هم خورده بود و تمام رویکیک به دورجعبه ریخته بود اما مشکل از کوک نبود از پیک بود لطفا بفرمایید که چیزی که از کوک میارن نباید خیلی تکان بخوره
پیتزا خوشمزه بود اما گوشت راسته‌ای که در مواد بود اصلا دیده نمی‌شد و مواد روش هم خیلی کم بود,1,92,پیتزا خوشمزه بود اما گوشت راستهای که در مواد بود اصلا دیده نمیشد و مواد روش هم خیلی کم بود
ممنونم از احترام به مشتری. غذای خوب و با کیفیت شما نشانه احترام شماست.,1,70,ممنونم از احترام به مشتری غذای خوب و با کیفیت شما نشانه احترام شماست
همیشه یک ساعت زمان تحویل می‌زنید و یکساعت هم با تاخیر غذا فرستادید و وقتی غذا رسید کاملا سرد بود سیب زمینی‌ها و چیزبرگر غیر قابل خوردن سس پنیر سرد با پیگیری جواب به من دادن که غذا رو گرم کنید!,0,192,همیشه یک ساعت زمان تحویل میزنید و یکساعت هم با تاخیر غذا فرستادید و وقتی غذا رسید کاملا سرد بود سیب زمینیها و چیزبرگر غیر قابل خوردن سس پنیر سرد با پیگیری جواب به من دادن که غذا رو گرم کنید
حجم و کیفیت برگر خوب بود ولی اصلا پنیر نداشت!، خیارشور هم کم گذاشته بودن,0,72,حجم و کیفیت برگر خوب بود ولی اصلا پنیر نداشت خیارشور هم کم گذاشته بودن
هر سه تکه ران بود,0,17,هر سه تکه ران بود
مرسی از اینکه غذا مطبوع بود و هم قیمه و هم چلوکباب به لطف اسنپ فود ظرف بیست دقیقه رسید. موفق باشید,1,98,مرسی از اینکه غذا مطبوع بود و هم قیمه و هم چلوکباب به لطف اسنپ فود ظرف بیست دقیقه رسید موفق باشید
مایع ظرفشویی داخل بسته خرید نبود,0,32,مایع ظرفشویی داخل بسته خرید نبود
نون پیتزا از زیر سوخته بود و مواد روی پیتزا نسبتا خام بود. خدا قوت!,0,67,نون پیتزا از زیر سوخته بود و مواد روی پیتزا نسبتا خام بود خدا قوت
کامل آب شده بود خامه هم معلوم نبود اصلا کیفیتش چرا داره میاد پایین؟,0,67,کامل آب شده بود خامه هم معلوم نبود اصلا کیفیتش چرا داره میاد پایین
افتضاح! دفعه بعد فکر کنم نان خالی تحویل بدن بهتره,0,49,افتضاح دفعه بعد فکر کنم نان خالی تحویل بدن بهتره
همه چیز تازه و خوشمزه و باکیفیت در بسته بندی مناسب به دستم رسید.,1,64,همه چیز تازه و خوشمزه و باکیفیت در بسته بندی مناسب به دستم رسید
لطفا ساندویچ را به شکل کمبو بدهید یعنی همراه با سیب‌زمینی و نوشابه,1,66,لطفا ساندویچ را به شکل کمبو بدهید یعنی همراه با سیبزمینی و نوشابه
هم غذا خوب بود هم پیک به موقع رسید,1,34,هم غذا خوب بود هم پیک به موقع رسید
خوشمزه بود ولی خیلی سرد بود,1,27,خوشمزه بود ولی خیلی سرد بود
مزه کباب کوبیده می‌داد و اصلا کیفیت گوشتش مناسب نبود,0,52,مزه کباب کوبیده میداد و اصلا کیفیت گوشتش مناسب نبود
عاشق تارت تمشک و تارت توت فرنگیتونم عالین.,1,42,عاشق تارت تمشک و تارت توت فرنگیتونم عالین
کل کبابی که سفارش داده بودم سوخته بود خیلی کیفیت گوشتشم بد بود,0,62,کل کبابی که سفارش داده بودم سوخته بود خیلی کیفیت گوشتشم بد بود
مثل همیشه محشر مشتری پروپاقرص زرشک پلو‌های میهمان هستیم,1,55,مثل همیشه محشر مشتری پروپاقرص زرشک پلوهای میهمان هستیم
یکی از بهترین نون بربریهایی بود که خورده بودم. ممنون کیفیت عالی.,1,64,یکی از بهترین نون بربریهایی بود که خورده بودم ممنون کیفیت عالی
سیب‌زمینی تنوری عالی بود,1,24,سیبزمینی تنوری عالی بود
پریشب خریدم خیلی پیاز و جعفری داشت امشب میشه گفت تقریبا نداشت ولی خوب بود ممنون,1,79,پریشب خریدم خیلی پیاز و جعفری داشت امشب میشه گفت تقریبا نداشت ولی خوب بود ممنون
خیلی بد بود، ۱ ساعت و‌نیم طول کشید تا ارسال بشه و کیفیت نون واقعا بد بود بیات بود و‌سفت,0,87,خیلی بد بود  ساعت ونیم طول کشید تا ارسال بشه و کیفیت نون واقعا بد بود بیات بود وسفت
همه چیز عالی. سپاس و خسته نباشید.,1,33,همه چیز عالی سپاس و خسته نباشید
بد نبود، ولی با این قیمت کیفیت بهتری توقع می‌رفت,1,48,بد نبود ولی با این قیمت کیفیت بهتری توقع میرفت
با اینکه تاکید کرده بودم ران باشه یکیش سینه بود,0,47,با اینکه تاکید کرده بودم ران باشه یکیش سینه بود
همه چی خوب بود فقط انقدر تو ایس پک طالبی شکلات ریخته بودن که مزه طالبی حس نمی‌شد,1,80,همه چی خوب بود فقط انقدر تو ایس پک طالبی شکلات ریخته بودن که مزه طالبی حس نمیشد
مثل همیشه عالی فقط حیف که چیپس سرکه نمکی پرینگلز رو ندارین طعم مورد علاقم بود آخه حتی کچابش هم دارید,1,100,مثل همیشه عالی فقط حیف که چیپس سرکه نمکی پرینگلز رو ندارین طعم مورد علاقم بود آخه حتی کچابش هم دارید
افتضاح گوشت نپخته. سیب‌زمینی خام. غذای کاملا بی‌مزه و بی‌نمک متاسفم براتون,0,74,افتضاح گوشت نپخته سیبزمینی خام غذای کاملا بیمزه و بینمک متاسفم براتون
خیلی سریع ارسال شد …مچکر,1,24,خیلی سریع ارسال شد مچکر
غذاش خوب بود ولی واقعا دیر رسید.,0,32,غذاش خوب بود ولی واقعا دیر رسید
غذا بسیار بد بود. بد مزه‌ترین ساندویچی که خورده بودم. نان سوخته و سرد. کیفیت پایین.,0,83,غذا بسیار بد بود بد مزهترین ساندویچی که خورده بودم نان سوخته و سرد کیفیت پایین
کیفیت و طعم خوب بود فقط کمی سرد شده بود,1,39,کیفیت و طعم خوب بود فقط کمی سرد شده بود
از بهترین برگر‌های فعلی,1,23,از بهترین برگرهای فعلی
ویفر‌های رولی در بسته بندی خرد شده بودند,1,40,ویفرهای رولی در بسته بندی خرد شده بودند
متاسفانه شیرینی ارسالی تازه نبود ۱,0,34,متاسفانه شیرینی ارسالی تازه نبود
سفارش من ۵ تیکه مرغ بود ۴ تا فرستادین,0,37,سفارش من  تیکه مرغ بود  تا فرستادین
اصلا مثل قبل نبود,1,17,اصلا مثل قبل نبود
وقتی غذا رسید من متوجه نشدم و تا متوجه شوم که غذا رسیده است، سرد شده بود متاسفانه اما به طور کلی، مزه غذا خوب بود,1,113,وقتی غذا رسید من متوجه نشدم و تا متوجه شوم که غذا رسیده است سرد شده بود متاسفانه اما به طور کلی مزه غذا خوب بود
پیتزا بسیار چرب بود بقدری چرب بود که جعبه چربی پس داده بود. گوشت بو می‌داد. متاسفانه پیتزا استیگ و سیر ظهر هم همین بود,1,118,پیتزا بسیار چرب بود بقدری چرب بود که جعبه چربی پس داده بود گوشت بو میداد متاسفانه پیتزا استیگ و سیر ظهر هم همین بود
Vip به نظر من تو منطقه داره بهترین میشه,1,39,Vip به نظر من تو منطقه داره بهترین میشه
خیلی تازه و خوب بود بی‌نظیر بود,1,31,خیلی تازه و خوب بود بینظیر بود
غذای من انقدر تاخیر داشت که نتونستم تحویل بگیرم لطفا پول غذا رو برگردونبد,0,73,غذای من انقدر تاخیر داشت که نتونستم تحویل بگیرم لطفا پول غذا رو برگردونبد
خیلی کیفیت افت کرده است. از پرپروک انتظار بیشتری داریم همیشه.,1,61,خیلی کیفیت افت کرده است از پرپروک انتظار بیشتری داریم همیشه
همه چیز عالی، سپاسگزارم,1,23,همه چیز عالی سپاسگزارم
تومن پیتزا خریدم سس نداده بود بدون سس خوردم,0,43,تومن پیتزا خریدم سس نداده بود بدون سس خوردم
بعد از ۱ ساعت و ۵۰ دقیقه غذارو برای مایی که ۳ تا خونه باهاشون فاصله داشتیم آوردن، چنگال و‌چاقو و دستمال هم نداشت در کل شب بسیار بدی بود,0,135,بعد از  ساعت و  دقیقه غذارو برای مایی که  تا خونه باهاشون فاصله داشتیم آوردن چنگال وچاقو و دستمال هم نداشت در کل شب بسیار بدی بود
