comment,label,comment_length,comment_cleaned
کیفیت غذاش مطلوب بود. فقط روی غذاهارو اشتباه نوشته بودن و غذای من بشدت چرب بود. هزینه پیک و بسته بندی و مالیات هم عدد قابل توجهی میشه.,1,134,کیفیت غذاش مطلوب بود فقط روی غذاهارو اشتباه نوشته بودن و غذای من بشدت چرب بود هزینه پیک و بسته بندی و مالیات هم عدد قابل توجهی میشه
پیتزا فوق‌العاده سرد و مونده بود انگار,0,38,پیتزا فوقالعاده سرد و مونده بود انگار
کرم شیرینی مونده و سفت شده بود، مرباهای روی تارت خشک‌شده و بدمزه بود. اولین بار بود که از این جا شیرینی می‌گرفتیم و قطعا آخرین بار!,0,131,کرم شیرینی مونده و سفت شده بود مرباهای روی تارت خشکشده و بدمزه بود اولین بار بود که از این جا شیرینی میگرفتیم و قطعا آخرین بار
برای اولین بار از سفارش از تیاکو راضی نبودم اصلا کیفیت قبل رو نداره.,0,68,برای اولین بار از سفارش از تیاکو راضی نبودم اصلا کیفیت قبل رو نداره
اب میوه با توجه به قیمت طبیعی نبود,1,34,اب میوه با توجه به قیمت طبیعی نبود
اول اینکه پیک ادرس را اشتباه رفته بود و سپس غذا سرد سرد بود.,0,60,اول اینکه پیک ادرس را اشتباه رفته بود و سپس غذا سرد سرد بود
بعد از ۱ ساعت یه تیکه چوب سرد که اسمش پیتزا اوردید که اونم کیفت مواد اولیش معلومه چقدر پرپروک به مشتریاش احترام میزاره.,0,119,بعد از  ساعت یه تیکه چوب سرد که اسمش پیتزا اوردید که اونم کیفت مواد اولیش معلومه چقدر پرپروک به مشتریاش احترام میزاره
سس مایونز بهروز نداشتن زنگ زدن با یک سس دیگر عوض کردم و مابه تفاوت گرفتن,1,72,سس مایونز بهروز نداشتن زنگ زدن با یک سس دیگر عوض کردم و مابه تفاوت گرفتن
سس نداده بودن نوشابه مغایر با درخواست بود,0,41,سس نداده بودن نوشابه مغایر با درخواست بود
بدترین ساندویچی که تا حالا خوردم!,0,33,بدترین ساندویچی که تا حالا خوردم
همه چیز خوب فقط مرغی که برایه سوخاری انتخاب‌شده بود خیلی داقون بود,1,66,همه چیز خوب فقط مرغی که برایه سوخاری انتخابشده بود خیلی داقون بود
سرعت ارسال عالی بود.,1,20,سرعت ارسال عالی بود
علی‌رغم میل باطنیم به شما امتیاز کم میدم. بسته پتی فور بسیار مانده بود. من به شما امتیاز بالا می‌دادم و به نظرم جز بهترین‌ها بودید و‌ای کاش می‌ماندید ولی متاسفانه بسیار نامیدکننده عمل کردید..,0,191,علیرغم میل باطنیم به شما امتیاز کم میدم بسته پتی فور بسیار مانده بود من به شما امتیاز بالا میدادم و به نظرم جز بهترینها بودید وای کاش میماندید ولی متاسفانه بسیار نامیدکننده عمل کردید
عکس شیرینی‌های ارسالی با بسته فرق داشت خصوصا تنوعش ولی خوشمزه و تازه بود. ارسال هم تقریبا سریع‌ترین حالت ممکن,1,109,عکس شیرینیهای ارسالی با بسته فرق داشت خصوصا تنوعش ولی خوشمزه و تازه بود ارسال هم تقریبا سریعترین حالت ممکن
مرسی عالی بود و داغ,1,19,مرسی عالی بود و داغ
سس قرمز نداشت. چاقو و چنگال نداشت. دستمال کاغذی نداشت. ولی کیفیت بد نبود.,0,73,سس قرمز نداشت چاقو و چنگال نداشت دستمال کاغذی نداشت ولی کیفیت بد نبود
شیرینی دانمارکی سفارش دادم. بسیار تازه، لطیف و خوش‌طعم بود. خسته نباشید و خدا قوت,1,81,شیرینی دانمارکی سفارش دادم بسیار تازه لطیف و خوشطعم بود خسته نباشید و خدا قوت
غذا در زمان تحویل هم‌سرد بود و هم کاملا در بسته بندی ریخته بود و قابل سرو برای مهمان نبود,1,89,غذا در زمان تحویل همسرد بود و هم کاملا در بسته بندی ریخته بود و قابل سرو برای مهمان نبود
خیلی سریع بدستم رسید ممنونم کیفیت و تاریخ عالی,1,46,خیلی سریع بدستم رسید ممنونم کیفیت و تاریخ عالی
نون مونده با مزه تلخی,0,21,نون مونده با مزه تلخی
من هر دفعه دارم‌یک سفارش رو تکرار می‌کنم اما الان جیز دیگه برای من اوردن.,0,73,من هر دفعه دارمیک سفارش رو تکرار میکنم اما الان جیز دیگه برای من اوردن
مدتها بود دنبال این ردبولها بودم ممنون,1,38,مدتها بود دنبال این ردبولها بودم ممنون
بسته بندی و دورچین عالی بود. کیفیت غذا هم مناسب بود. فقط کاش بتونین از مرغهای ارگانیک استفاده کنید چون بعضی از ران مرغ‌ها بوی بدی دارن که این البته تقصیر شما نیست و هیچ جوره نمیشه بوی بدش رو گرفت.,1,196,بسته بندی و دورچین عالی بود کیفیت غذا هم مناسب بود فقط کاش بتونین از مرغهای ارگانیک استفاده کنید چون بعضی از ران مرغها بوی بدی دارن که این البته تقصیر شما نیست و هیچ جوره نمیشه بوی بدش رو گرفت
عدد بستنیدموجود نبود,0,20,عدد بستنیدموجود نبود
بندری واقعا بد طعم بودد,0,23,بندری واقعا بد طعم بودد
قیمت‌ها بطور غیرعادی بالاست. حدود ۳ برابر.,0,42,قیمتها بطور غیرعادی بالاست حدود  برابر
زمان رسیدن غذا با توجه به نزدیکی منزل ما به سفیر کمی طولانی بود ولی غذا داغ به دست ما رسید و طعم خوبی داشت.,1,107,زمان رسیدن غذا با توجه به نزدیکی منزل ما به سفیر کمی طولانی بود ولی غذا داغ به دست ما رسید و طعم خوبی داشت
کباب بسیار کوچک بود که با توجه به گرانی گوشت میتونه دلیلش باشه و جوجه هم دفعه قبل عالی‌تر بود ولی در کل نسبت به جاهای دیگه هنوز میشه بهشون امیدوار بود و سفارش داد,0,162,کباب بسیار کوچک بود که با توجه به گرانی گوشت میتونه دلیلش باشه و جوجه هم دفعه قبل عالیتر بود ولی در کل نسبت به جاهای دیگه هنوز میشه بهشون امیدوار بود و سفارش داد
عالی مثل همیشه. من مشتری دائم این سوپر مارکت هستم از همه بهتر,1,61,عالی مثل همیشه من مشتری دائم این سوپر مارکت هستم از همه بهتر
کاملا سرد و مونده و غیرقابل خوردن. متاسفم برای باروژ. چرا غذای مونده باید بدید دست مشتری وقتی پول کمی هم نمی‌گیرید؟!,0,116,کاملا سرد و مونده و غیرقابل خوردن متاسفم برای باروژ چرا غذای مونده باید بدید دست مشتری وقتی پول کمی هم نمیگیرید
با سلام. غذا خوب ولی یه غذا کبابش کاملا سوخته بود. با تشکر,0,58,با سلام غذا خوب ولی یه غذا کبابش کاملا سوخته بود با تشکر
همونی که می‌خواستم غذای سالم و رژیمی. سپاس فراوان,1,49,همونی که میخواستم غذای سالم و رژیمی سپاس فراوان
متاسفم واسه هرچی ادم که دور خودتون جم کردین شیرینی مه به دست من رسیده شبیه آش شده,0,81,متاسفم واسه هرچی ادم که دور خودتون جم کردین شیرینی مه به دست من رسیده شبیه آش شده
غذا کاملن سرد بود طوری که پنیر روی پیتزا مثل لاستیک شده بود. فیله مرغ سرد سالاد کلم چپه شده توی جعبه فیله مرغ! تاخیرم که داشت. مرغ دو تکه هم نداشتین.,0,149,غذا کاملن سرد بود طوری که پنیر روی پیتزا مثل لاستیک شده بود فیله مرغ سرد سالاد کلم چپه شده توی جعبه فیله مرغ تاخیرم که داشت مرغ دو تکه هم نداشتین
من همیشه از این نانوایی نان می‌گیرم و خوب هست ولی ۲ نویت هست که نونی که برام میارن سرد هست.,1,91,من همیشه از این نانوایی نان میگیرم و خوب هست ولی  نویت هست که نونی که برام میارن سرد هست
همه چیز عالی بود و مواد اولیه تازه بنظر می‌رسید. و اینکه لطفا در پیتزا مخصوص باروژ کمی کمتر از پنیر استفاده کنید چون واقعا خیلی پیتزای سنگینی هستش و دیگه غیر قابل خوردن میشه انقدر پنیر زیاده … ممنون از شما,1,205,همه چیز عالی بود و مواد اولیه تازه بنظر میرسید و اینکه لطفا در پیتزا مخصوص باروژ کمی کمتر از پنیر استفاده کنید چون واقعا خیلی پیتزای سنگینی هستش و دیگه غیر قابل خوردن میشه انقدر پنیر زیاده  ممنون از شما
سوپ خیلی عالی و خوشمزه و داغ بود. گوجه یکم سرد بود. کباب هم عالی بود,1,68,سوپ خیلی عالی و خوشمزه و داغ بود گوجه یکم سرد بود کباب هم عالی بود
هم دیر رسید هم یک قسمتش سوخته بود و هم‌علیرغم تاکید به گرم بودن سرد رسید,1,72,هم دیر رسید هم یک قسمتش سوخته بود و همعلیرغم تاکید به گرم بودن سرد رسید
مسیر ستوران تا محل تحویل ۵ دقیقه می‌باشد. غذا سرد بی‌کیفیت از سایز ۲۴ سانتی هم که اعلام‌شده بود کوچکتر بود و حکم مینی پیتزا داشت. سیب زمینی‌ها همه خشک و بی‌طمع,0,159,مسیر ستوران تا محل تحویل  دقیقه میباشد غذا سرد بیکیفیت از سایز  سانتی هم که اعلامشده بود کوچکتر بود و حکم مینی پیتزا داشت سیب زمینیها همه خشک و بیطمع
غذا بسیار عالی ولی کیفیت نوشیدنی‌ها بسیار پایین است.,1,52,غذا بسیار عالی ولی کیفیت نوشیدنیها بسیار پایین است
جوجه‌کباب خشک سوخته و بی‌کیفیت برنج خام و بی‌کیفیت کلا بی‌کیفیت,0,63,جوجهکباب خشک سوخته و بیکیفیت برنج خام و بیکیفیت کلا بیکیفیت
مثل همیشه خوب بود، اما پیتزا مارگاریتا کالباس نداره,1,51,مثل همیشه خوب بود اما پیتزا مارگاریتا کالباس نداره
مرغ سوخاری نپخته بوداصلا خوب نبود,0,33,مرغ سوخاری نپخته بوداصلا خوب نبود
یک نوع از شیرینی‌ها یخ‌زده بود.,0,31,یک نوع از شیرینیها یخزده بود
اون کیفیتی که از خامه شیرینی‌تر انتظار داشتم براورده نشد,0,56,اون کیفیتی که از خامه شیرینیتر انتظار داشتم براورده نشد
لوبیا پلوهاتون عالیه ممنونم,1,27,لوبیا پلوهاتون عالیه ممنونم
عالی هست من همیشه از این فست فود خرید می‌کنم - فقط بهتر هست که از نظر بسته بندی و متعلقات (مثل انواع سس) پیشرفت کنن همین. ولی از نظر کیفیت نسبت به مبلغ خوب هست. بهتره از اینجا پیتزا بگیرید تشکر,1,193,عالی هست من همیشه از این فست فود خرید میکنم  فقط بهتر هست که از نظر بسته بندی و متعلقات مثل انواع سس پیشرفت کنن همین ولی از نظر کیفیت نسبت به مبلغ خوب هست بهتره از اینجا پیتزا بگیرید تشکر
غذا گرم و خیلی سریع رسید ممنون,1,30,غذا گرم و خیلی سریع رسید ممنون
کیفیت و طعم پیتزا خوب بود فقط فقط خیلی سرد بود که دوباره باعث شد بزاریم داخل ماکروفر,1,84,کیفیت و طعم پیتزا خوب بود فقط فقط خیلی سرد بود که دوباره باعث شد بزاریم داخل ماکروفر
هزینه‌های جانبی از قبیل مالیات و هزینه پیک زیاد هست مثلا یک هات داگ که ۱۴ تومن هزینشه باید ۱۸ تومن پیاده بشی. برای هزینه پیک من که ۲ تا خیابون اونورتر هستم به صرفه تره که خودم برم تا پیک بیاره,1,192,هزینههای جانبی از قبیل مالیات و هزینه پیک زیاد هست مثلا یک هات داگ که  تومن هزینشه باید  تومن پیاده بشی برای هزینه پیک من که  تا خیابون اونورتر هستم به صرفه تره که خودم برم تا پیک بیاره
واقعا درست کردن یک سالاد اینقدر سخته؟؟؟؟ افتضاح بود. حجم مواد سالاد به شدت پایین بود,0,84,واقعا درست کردن یک سالاد اینقدر سخته افتضاح بود حجم مواد سالاد به شدت پایین بود
متاسفانه با اینکه گفته بودم خیارشور بیشتر گذاشته شود، مقدار خیارشور حتی کمتر از حالت معمولی بود!,0,96,متاسفانه با اینکه گفته بودم خیارشور بیشتر گذاشته شود مقدار خیارشور حتی کمتر از حالت معمولی بود
بی‌نظیر بود برنجش عالی و مرغ خیلی خوش عطر,1,41,بینظیر بود برنجش عالی و مرغ خیلی خوش عطر
شامپوی اشتباه ارسال‌شده است چطوری میتونم. پس بدم و پولش رو بهم پس بدن؟,0,70,شامپوی اشتباه ارسالشده است چطوری میتونم پس بدم و پولش رو بهم پس بدن
به حالت جالبی مرغشون مثل آدامس بود و هزار بار هم می‌جویدی باز حالت ارتجاعی خودشو حفظ می‌کرد! نمی‌دونم حالا چند روز از پختش می‌گذشت! باز خوبه یه سوپ کنارش بود که بشوره ببره پایین!,0,178,به حالت جالبی مرغشون مثل آدامس بود و هزار بار هم میجویدی باز حالت ارتجاعی خودشو حفظ میکرد نمیدونم حالا چند روز از پختش میگذشت باز خوبه یه سوپ کنارش بود که بشوره ببره پایین
پیتزاشو اصلا نمی‌شد خورد,1,24,پیتزاشو اصلا نمیشد خورد
داغ داغ رسید و غذاها هم خوشمزه بود,1,34,داغ داغ رسید و غذاها هم خوشمزه بود
جای ادویه مثل فلفل کم بود ولی در کل بینظیر بود,1,46,جای ادویه مثل فلفل کم بود ولی در کل بینظیر بود
پیتزا‌ها رو اولین بار بود سفارش می‌دادم، خیلی خوب بود، ساندویچ و برگر هم که مثل همیشه عالی. امیدوارم خراب نشه این گاردن گریل.,1,125,پیتزاها رو اولین بار بود سفارش میدادم خیلی خوب بود ساندویچ و برگر هم که مثل همیشه عالی امیدوارم خراب نشه این گاردن گریل
من چندین بار تا به حال از این رستوران سفارش داده‌ام ولی اینبار متاسفانه کیفیت غذا نسبت به گذشته بسیار افت کرده بود.,0,115,من چندین بار تا به حال از این رستوران سفارش دادهام ولی اینبار متاسفانه کیفیت غذا نسبت به گذشته بسیار افت کرده بود
آش و حلیم هر دو عالی بود کیفیت نان لواش همراه غذا متوسط بود ممنون از رستوران و اسنپ عزیز,1,88,آش و حلیم هر دو عالی بود کیفیت نان لواش همراه غذا متوسط بود ممنون از رستوران و اسنپ عزیز
من ساعت غذا سفارش دادم ساعت ۳ به دستم رسید …. واقعا اینقدر تاخیر در غذا خوبه نزدیک هم بوده … غذا کالا سردشده.,0,109,من ساعت غذا سفارش دادم ساعت  به دستم رسید  واقعا اینقدر تاخیر در غذا خوبه نزدیک هم بوده  غذا کالا سردشده
نان کاملا مونده و خشک بود,0,25,نان کاملا مونده و خشک بود
بسیار بی‌کیفیت، بسته بندیبسیار بد، غذا رو رسما مچاله کرده بودند و داخل جعبه ریخته بودند، قطعا دیگه سفارش نمیدم ازینجا,0,117,بسیار بیکیفیت بسته بندیبسیار بد غذا رو رسما مچاله کرده بودند و داخل جعبه ریخته بودند قطعا دیگه سفارش نمیدم ازینجا
سزار خیلی حجمش کم بود,1,21,سزار خیلی حجمش کم بود
سلام ضمن تبریک سال نو به اسنپ فود عزیز با اینکه سفارش نزدیک سال‌تحویل بود غذا سر وقت گرم و عالی ارسال شد. طعم غذا و حجم غذا عالی از اسنپ فود و رستوران رفتاری تشکر ویژه همراه با آرزوی سلامتی و شادکامی برای سال جدید,1,213,سلام ضمن تبریک سال نو به اسنپ فود عزیز با اینکه سفارش نزدیک سالتحویل بود غذا سر وقت گرم و عالی ارسال شد طعم غذا و حجم غذا عالی از اسنپ فود و رستوران رفتاری تشکر ویژه همراه با آرزوی سلامتی و شادکامی برای سال جدید
